url_path,views_total,views_unique
/ConesaLab/IsoAnnot,28,14
/ConesaLab/IsoAnnot/tree/main/IsoAnnot,17,4
/ConesaLab/IsoAnnot/issues,6,4
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/scripts,6,4
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config,6,2
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config/generic,4,1
/ConesaLab/IsoAnnot/blob/main/README.md,3,2
/ConesaLab/IsoAnnot/tree/main,3,2
/ConesaLab/IsoAnnot/blob/main/IsoAnnot/isoannot.sh,3,1
/ConesaLab/IsoAnnot/tree/main/IsoAnnot/config/mytranscripts/hsapiens,3,1
