time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,28,9,0,0
2026-06-22 00:00:00+00:00,33,9,2,1
2026-06-23 00:00:00+00:00,20,6,0,0
2026-06-24 00:00:00+00:00,19,9,0,0
2026-06-25 00:00:00+00:00,16,6,0,0
2026-06-26 00:00:00+00:00,13,4,19,3
2026-06-27 00:00:00+00:00,8,3,1,1
2026-06-28 00:00:00+00:00,1,1,1,1
2026-06-29 00:00:00+00:00,16,6,12,2
2026-06-30 00:00:00+00:00,9,5,3,2
2026-07-01 00:00:00+00:00,8,4,1,1
2026-07-02 00:00:00+00:00,10,5,2,1
2026-07-03 00:00:00+00:00,21,7,1,1
2026-07-04 00:00:00+00:00,16,6,0,0
